validation_layer,split_id,ring,sampling_site_label,sampling_location_specific,coord_group,status_rung1,status_rung2,comparison_subset_id,extension_target,status,status_rung2_3class,status_au_non_au
blocked_site_cv,Fold2,CP16938,Rangipo Desert,"Rangipo Desert, Tongariro National Park","175.727142,-39.291327",migrant,NZ migrant,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,NI migrant,NZ migrant,non_AU
blocked_site_cv,Fold2,CP16945,Rangipo Desert,"Rangipo Desert, Tongariro National Park","175.702629005536,-39.379794029519",migrant,NZ migrant,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,NI migrant,NZ migrant,non_AU
blocked_site_cv,Fold2,CP16953,Rangipo Desert,"Rangipo Desert, Tongariro National Park","175.700161037967,-39.3611319735646",migrant,NZ migrant,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,NI migrant,NZ migrant,non_AU
blocked_site_cv,Fold3,CP16958,Napier,"Napier, Hawkes Bay","176.92653497681,-39.5726949814707",migrant,NZ migrant,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,NI migrant,NZ migrant,non_AU
blocked_site_cv,Fold3,CP16990,Napier,"Napier, Hawkes Bay","176.930825,-39.575394",migrant,NZ migrant,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,NI migrant,NZ migrant,non_AU
blocked_site_cv,Fold3,CP17010,Tiwai Point,"Tiwai Point, Canterbury","168.425144,-46.604315",resident,resident,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,resident,resident,non_AU
blocked_site_cv,Fold3,CP17011,Tiwai Point,"Tiwai Point, Canterbury","168.425144,-46.604315",migrant,NZ migrant,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,SI migrant,NZ migrant,non_AU
blocked_site_cv,Fold1,CP19311,Tasman River,"Tasman River, Mt. Cook National Park","170.146284,-43.725414",migrant,NZ migrant,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,SI migrant,NZ migrant,non_AU
blocked_site_cv,Fold1,CP19312,Tasman River,"Tasman River, Mt. Cook National Park","170.145122,-43.729755",migrant,AU migrant,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,AU migrant,AU migrant,AU
blocked_site_cv,Fold1,CP19314,Tasman River,"Tasman River, Mt. Cook National Park","170.144119,-43.736765",migrant,AU migrant,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,AU migrant,AU migrant,AU
blocked_site_cv,Fold4,CP19327,Porters Beach,"Porters Beach, Abel Tasman National Park","173.011575,-40.993306",migrant,NZ migrant,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,SI migrant,NZ migrant,non_AU
blocked_site_cv,Fold1,CP19340,Tasman River,"Tasman River, Mt. Cook National Park","170.14463,-43.734073",migrant,AU migrant,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,AU migrant,AU migrant,AU
blocked_site_cv,Fold2,CP19346,Kaitorete,"Kaitorete Spit, Canterbury","172.431853,-43.845691",resident,resident,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,resident,resident,non_AU
blocked_site_cv,Fold2,CP19350,Kaitorete,"Kaitorete Spit, Canterbury","172.591216,-43.832075",migrant,NZ migrant,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,SI migrant,NZ migrant,non_AU
blocked_site_cv,Fold1,CP19360,Motueka Spit,"Motueka Spit, Tasman Bay","173.030661,-41.11765",migrant,NZ migrant,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,SI migrant,NZ migrant,non_AU
blocked_site_cv,Fold1,CP19361,Motueka Spit,"Motueka Spit, Tasman Bay","173.033468,-41.123473",resident,resident,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,resident,resident,non_AU
blocked_site_cv,Fold1,CP19365,Tasman River,"Tasman River, Mt. Cook National Park","170.143352,-43.73679",migrant,AU migrant,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,AU migrant,AU migrant,AU
blocked_site_cv,Fold1,CP19366,Tasman River,"Tasman River, Mt. Cook National Park","170.144062,-43.736643",migrant,AU migrant,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,AU migrant,AU migrant,AU
blocked_site_cv,Fold1,CP19368,Tasman River,"Tasman River, Mt. Cook National Park","173.0307,-41.11812",migrant,AU migrant,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,AU migrant,AU migrant,AU
blocked_site_cv,Fold1,CP19371,Motueka Spit,"Motueka Spit, Tasman Bay","173.031797,-41.120263",resident,resident,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,resident,resident,non_AU
blocked_site_cv,Fold4,CP19907,Te Anau,"Te Anau, Southland","167.746751,-45.414278",resident,resident,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,resident,resident,non_AU
blocked_site_cv,Fold4,CP19908,Te Anau,"Te Anau, Southland","167.745905,-45.414044",resident,resident,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,resident,resident,non_AU
blocked_site_cv,Fold3,CP19915,Tiwai Point,"Tiwai Point, Canterbury","168.430146,-46.605879",migrant,NZ migrant,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,SI migrant,NZ migrant,non_AU
blocked_site_cv,Fold3,CP19921,Tiwai Point,"Tiwai Point, Canterbury","168.431945,-46.606263",resident,resident,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,resident,resident,non_AU
blocked_site_cv,Fold3,CP19922,Tiwai Point,"Tiwai Point, Canterbury","168.431945,-46.606263",resident,resident,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,resident,resident,non_AU
blocked_site_cv,Fold3,CP19923,Tiwai Point,"Tiwai Point, Canterbury","168.433515,-46.606197",resident,resident,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,resident,resident,non_AU
blocked_site_cv,Fold3,CP19931,Napier,"Napier, Hawkes Bay","176.919071981683,-39.5101300254464",migrant,NZ migrant,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,NI migrant,NZ migrant,non_AU
blocked_site_cv,Fold4,CP19983,Te Anau,"Te Anau, Southland","167.744617,-45.414383",resident,resident,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,resident,resident,non_AU
blocked_site_cv,Fold4,CP9059,Kaikoura,"Kaikoura, Canterbury","173.662786,-42.413422",resident,resident,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,resident,resident,non_AU
